             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3588931      cron /global/   nquota PD       0:00      1 (BeginTime)
           9995858      cron /global/ zmarshal PD       0:00      1 (BeginTime)
          29499412      cron /global/    regan PD       0:00      1 (BeginTime)
          37977967      cron       cd      skh PD       0:00      1 (BeginTime)
          38044489      cron scron_nh     desi PD       0:00      1 (BeginTime)
          21407072      cron /global/     desc PD       0:00      1 (BeginTime)
          13546913      cron /pscratc   annaho PD       0:00      1 (BeginTime)
          31132678      cron /global/    sarat PD       0:00      1 (BeginTime)
          36595732      cron untarget   msdata PD       0:00      1 (BeginTime)
          36796171      cron /pscratc     sobs PD       0:00      1 (BeginTime)
          37843680      cron scratch_ lgerhard PD       0:00      1 (BeginTime)
          37843682      cron job_fail lgerhard PD       0:00      1 (BeginTime)
          37843683      cron cfs_dail lgerhard PD       0:00      1 (BeginTime)
          38044493      cron scron_ts     desi PD       0:00      1 (BeginTime)
          36758572      cron   gather hargrove PD       0:00      1 (BeginTime)
          25821360      cron       cd  hategan PD       0:00      1 (BeginTime)
          37945111      cron /bin/csh  tyang25 PD       0:00      1 (BeginTime)
          35202435      cron cron_job  kadidia PD       0:00      1 (BeginTime)
          38136816      cron ~/HAWF/a  jzhang3 PD       0:00      1 (BeginTime)
          18092163      cron matlab-l sfarrell PD       0:00      1 (BeginTime)
          37967748      cron iobot-su dmargala PD       0:00      1 (BeginTime)
          38136815      cron ~/HAWF/g  jzhang3 PD       0:00      1 (BeginTime)
          28327763      cron ~/.cron.  bfoster PD       0:00      1 (BeginTime)
           4662497      cron check-ju  rthomas PD       0:00      1 (BeginTime)
          37381033      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          38170188      cron /global/      img PD       0:00      1 (BeginTime)
          37967745      cron initbot- dmargala PD       0:00      1 (BeginTime)
          34937626      cron /usr/bin ebylaska PD       0:00      1 (BeginTime)
          37843679      cron ior_big_ lgerhard PD       0:00      1 (BeginTime)
          38000349      cron  python3   cookbg PD       0:00      1 (BeginTime)
          36595742      cron jgi_raw_   msdata PD       0:00      1 (BeginTime)
          38038879      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          37967747      cron iobot-cl dmargala PD       0:00      1 (BeginTime)
          36758575      cron queue-pu hargrove PD       0:00      1 (BeginTime)
          38044496      cron scron_sv     desi PD       0:00      1 (BeginTime)
          29499413      cron /global/    regan PD       0:00      1 (BeginTime)
          36336330      cron /global/   dingpf PD       0:00      1 (BeginTime)
          36595743      cron egsb_raw   msdata PD       0:00      1 (BeginTime)
          38194184      cron jaws_mon     jaws PD       0:00      1 (BeginTime)
          38194203      cron end2end_   nmjaws PD       0:00      1 (BeginTime)
          37836249      cron globus_r   kbjaws PD       0:00      1 (BeginTime)
          37967746      cron iobot-su dmargala PD       0:00      1 (BeginTime)
          38194181      cron globus_r     jaws PD       0:00      1 (BeginTime)
          35531249      cron /usr/bin mtnguyen PD       0:00      1 (BeginTime)
          38194202      cron end2end_   nmjaws PD       0:00      1 (BeginTime)
           8612883      cron /global/      mjd PD       0:00      1 (BeginTime)
           8612885      cron /global/      mjd PD       0:00      1 (BeginTime)
          10849087      cron /global/  divij18 PD       0:00      1 (BeginTime)
          16945026      cron $HOME/bi   borisg PD       0:00      1 (BeginTime)
          17963671      cron date;/gl   usgweb PD       0:00      1 (BeginTime)
          24412635      cron ~/scron/   ulises PD       0:00      1 (BeginTime)
          34708200      cron /global/  cyrusyc PD       0:00      1 (BeginTime)
          34895495      cron /global/  jeanbez PD       0:00      1 (BeginTime)
          36336329      cron /global/   dingpf PD       0:00      1 (BeginTime)
          36595738      cron untarget   msdata PD       0:00      1 (BeginTime)
          36758573      cron shepherd hargrove PD       0:00      1 (BeginTime)
          36758574      cron shepherd hargrove PD       0:00      1 (BeginTime)
          36796169      cron /global/     sobs PD       0:00      1 (BeginTime)
          37222642      cron /global/  shenwei PD       0:00      1 (BeginTime)
          37381028      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          37381029      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          37381030      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          37381031      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          37381032      cron $HOME/AF   selbor PD       0:00      1 (BeginTime)
          37836247      cron end2end_   kbjaws PD       0:00      1 (BeginTime)
          37843677      cron queue_re lgerhard PD       0:00      1 (BeginTime)
          38038875      cron    rsync  essdive PD       0:00      1 (BeginTime)
          38044491      cron scron_da     desi PD       0:00      1 (BeginTime)
          38044495      cron scron_sv     desi PD       0:00      1 (BeginTime)
          38170190      cron /global/      img PD       0:00      1 (BeginTime)
          38194187      cron jaws-slu     jaws PD       0:00      1 (BeginTime)
          38194201      cron jaws-slu   nmjaws PD       0:00      1 (BeginTime)
           8612882      cron /global/      mjd PD       0:00      1 (BeginTime)
          20880840      cron   iotest sjbailey PD       0:00      1 (BeginTime)
           8612884      cron /global/      mjd PD       0:00      1 (BeginTime)
           9758339      cron list_wat datadash PD       0:00      1 (BeginTime)
           9758340      cron json_wat datadash PD       0:00      1 (BeginTime)
          34929888      cron /global/    bshan PD       0:00      1 (BeginTime)
          36595733      cron check_sc   msdata PD       0:00      1 (BeginTime)
          37836242      cron jaws_cro   kbjaws PD       0:00      1 (BeginTime)
          37836243      cron jaws_mon   kbjaws PD       0:00      1 (BeginTime)
          37836246      cron jaws-slu   kbjaws PD       0:00      1 (BeginTime)
          37985212      cron clean_fr  usatlas PD       0:00      1 (BeginTime)
          38044492      cron scron_da     desi PD       0:00      1 (BeginTime)
          38194198      cron jaws_mon   nmjaws PD       0:00      1 (BeginTime)
           8551283      cron /global/   mjdata PD       0:00      1 (BeginTime)
          35202434      cron query_db  kadidia PD       0:00      1 (BeginTime)
           8636655      cron /global/     euso PD       0:00      1 (BeginTime)
          17963670      cron /global/   usgweb PD       0:00      1 (BeginTime)
          33600697      cron reseq_re  ga_user PD       0:00      1 (None)
          33600698      cron dap-seq_  ga_user PD       0:00      1 (None)
          34929889      cron /global/    bshan PD       0:00      1 (BeginTime)
          36595728      cron jgi_conv   msdata PD       0:00      1 (None)
          36595729      cron egsb_con   msdata PD       0:00      1 (None)
          36595740      cron metatlas   msdata PD       0:00      1 (None)
          36595741      cron infrastr   msdata PD       0:00      1 (None)
          37149212      cron /global/ icecubed PD       0:00      1 (BeginTime)
          37836238      cron jaws_sta   kbjaws PD       0:00      1 (None)
          37836239      cron jaws_sta   kbjaws PD       0:00      1 (BeginTime)
          37836240      cron jaws_sta   kbjaws PD       0:00      1 (None)
          37836248      cron watch_re   kbjaws PD       0:00      1 (RaisedSignal:53(Real-time signal 19))
          37843686      cron dvs_chec lgerhard PD       0:00      1 (BeginTime)
          37843687      cron jupyter- lgerhard PD       0:00      1 (None)
          38194175      cron jaws_per     jaws PD       0:00      1 (BeginTime)
          38194176      cron jaws_per     jaws PD       0:00      1 (BeginTime)
          38194177      cron jaws_per     jaws PD       0:00      1 (BeginTime)
          38194193      cron nmjaws_n   nmjaws PD       0:00      1 (BeginTime)
          38194195      cron nmjaws_n   nmjaws PD       0:00      1 (None)
           8551282      cron /global/   mjdata PD       0:00      1 (BeginTime)
          33600699      cron git_clea  ga_user PD       0:00      1 (BeginTime)
          38194194      cron nmjaws_n   nmjaws PD       0:00      1 (BeginTime)
          38194204      cron watch_re   nmjaws PD       0:00      1 (Dependency)
          38194200      cron logging_   nmjaws PD       0:00      1 (Dependency)
          38194199      cron jaws-fil   nmjaws PD       0:00      1 (Dependency)
          38194186      cron logging_     jaws PD       0:00      1 (Dependency)
          38194185      cron jaws-fil     jaws PD       0:00      1 (Dependency)
          38194180      cron watch_re     jaws PD       0:00      1 (Dependency)
          38194179      cron jaws_per     jaws PD       0:00      1 (Dependency)
          38194178      cron jaws_per     jaws PD       0:00      1 (Dependency)
          38193245      cron d3dsf-gl    d3dsf PD       0:00      1 (Dependency)
          38193244      cron d3dsf-gl    d3dsf PD       0:00      1 (Dependency)
          38193243      cron d3dsf-gl    d3dsf PD       0:00      1 (Dependency)
          38146337      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          38088726      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          38086462      cron jaws_kba   kbjaws PD       0:00      1 (Dependency)
          38086439      cron jaws_per     jaws PD       0:00      1 (Dependency)
          38086431      cron jaws_per     jaws PD       0:00      1 (Dependency)
          38044488      cron scron_nw     desi PD       0:00      1 (Dependency)
